Restaurant_ID,Restaurant_Name,Cuisines,Price_for_One,Delivery_Time,Location,Rating,Delivery_review_number,,,
100001,Easy Bites by Hotel Empire,"Snacks, Fast Food, Beverages",75,29,Ashok Nagar,4.1,1000,,,
100002,Meghana Foods,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",250,24,Ashok Nagar,4.5,10000,,,
100003,Hotel Empire,"North Indian, Kebabs, Biryani",225,29,Brigade Road,4.3,10000,,,
100004,Kannur Food Point,"Kerala, Chinese",150,29,Tavarekere,3.9,10000,,,
100005,N.Razakhiya Hotel,"North Indian, Chinese, Tandoor, Sweets, Beverages",150,34,Nagawara,3.9,1000,,,
100006,Royal Restaurant,"Chinese, North Indian, Tandoor",150,28,Shivajinagar,3.9,5000,,,
100007,California Burrito,"Mexican, American, Salads, Continental, Keto, Healthy Food",125,30,Basavanagudi,4.5,1000,,,
100008,Narmada Chain Of Restaurant,"Biryani, Andhra, South Indian",250,32,Frazer Town,4.4,1000,,,
100009,Halli Jonne Biriyani,"South Indian, Biryani",150,38,Jayanagar,4.3,10000,,,
100010,Burger King,"Burgers, American",175,31,Shivaji Nagar,4.1,10000,,,
100011,Chickpet donne biriyani house,Biryani,125,32,Koramangala,3.9,5000,,,
100012,Puliyogare Point,South Indian,75,25,Basavanagudi,4.5,10000,,,
100013,Truffles,"American, Desserts, Continental, Italian",225,25,St Marks Road,4.4,10000,,,
100014,Foo Brigade Road,"Asian, Chinese, Sushi",500,48,PRESTIGE FORUM REX,4.2,50,,,
100015,Sri Udupi Park,"North Indian, South Indian, Chinese, Chaat, Beverages",100,35,Residency Road,4.4,10000,,,
100016,Nagarjuna,"Andhra, South Indian, Biryani, Beverages, Desserts",300,26,Ashok Nagar,4.4,10000,,,
100017,Natraj Chole Bhature,"Indian, Chaat, Sweets",150,31,Jayanagar,4.2,5000,,,
100018,Shyamji's Chole Bhature,"North Indian, Beverages, Snacks",200,30,Koramangala,4.3,500,,,
100019,New Ambur Biryani Point,"Biryani, Chinese, North Indian",125,25,Adugodi,4,500,,,
100020,McDonald's,"Burgers, Beverages, Cafe, Desserts",200,22,Ashok Nagar,4.2,10000,,,
100021,Kabab Magic,"North Indian, Chinese",200,22,Richmond Town,3.7,10000,,,
100022,Donne Biryani House,"Biryani, South Indian",150,36,Malleshwaram,4,5000,,,
100023,Al-Bek,"Arabian, Tandoor, Biryani",250,32,Malleshwaram,4.2,5000,,,
100024,Vijayalakshmi,"South Indian, North Indian, Chinese",75,32,Basavanagudi,4.1,10000,,,
100025,Lulu Hypermarket,"Arabian, Continental, North Indian, Chinese",175,45,Rajajinagar,3.9,1000,,,
100026,Chikpet Donne Biryani House Palace Guttahalli,"Biryani, South Indian",150,26,Seshadripuram,4,5000,,,
100027,FreshMenu,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts",125,40,Richmond Road,4.1,10000,,,
100028,Paakashala,"South Indian, North Indian, Chinese",250,30,MG Road,4.3,1000,,,
100029,New Taj Darbar,"Biryani, Indian, Chinese, Tandoor, Seafood",150,42,Shivajinagar,3.4,10000,,,
100030,Leon's - Burgers &amp; Wings (Leon Grill),"American, Snacks, Turkish, Portuguese, Continental",150,31,Frazer Town,4.3,5000,,,
100031,Roti Ghar,"Chinese, South Indian, North Indian, Desserts, Fast Food, Beverages, Mughlai",200,31,Basavanagudi,4.2,10000,,,
100032,La Pino'z Pizza,"Pizzas, Pastas, Italian, Desserts, Beverages",110,34,Basavanagudi,3.9,1000,,,
100033,New Shanti Sagar,"South Indian, Chinese, North Indian, Fast Food",100,29,Rajajinagar,4.1,10000,,,
100034,Pizza Hut,Pizzas,300,27,Shanti Nagar,3.9,5000,,,
100035,Maven Kitchen,"Naga, Chinese",100,35,Ejipura,4.4,1000,,,
100036,Rotti Walla,"North Indian, Chinese, Snacks, Beverages, Tandoor",100,48,Indiranagar,4,10000,,,
100037,Hamza hotel,"Continental, Street Food",150,33,Shivajinagar,4.2,10000,,,
100038,KFC,"Burgers, Biryani, American, Snacks, Fast Food",200,26,Magrath Road,3.7,10000,,,
100039,SVSS Biryani,"Hyderabadi, Andhra, Continental",250,34,Indiranagar,4.2,500,,,
